player_id,player_name,season,type,age,team,pos,G,MP,MPG,TS_pct,Usg,FGA3r,FTAr,AST_pct,TOV_pct,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,pace_impact,raptor_off,raptor_def,raptor_tot,war_total
youngtr01,Trae Young,2020,RS,21,ATL,PG,60,2120,35.3,59.5,34.9,45.5,44.8,45.6,16.2,1.6,11.5,6.5,1.4,0.3,2.9,7.1,-3.3,3.7,7.19
huntede01,De'Andre Hunter,2020,RS,22,ATL,SF,63,2018,32,52.1,17.5,44.5,21.1,8,12.1,2.3,13.1,7.6,1,0.7,0,-2.5,-1.3,-3.8,-1.09
huertke01,Kevin Huerter,2020,RS,21,ATL,SG,56,1760,31.4,53.6,17.1,54.8,10.5,17.5,12,2.1,12,7,1.4,1.3,0.1,-0.4,-2.4,-2.8,-0.05
reddica01,Cam Reddish,2020,RS,20,ATL,SF,58,1551,26.7,50,18.9,45.1,22.7,8,13.6,2.4,12.7,7.5,1.9,1.5,0.9,-2.9,0,-3,-0.18
collijo01,John Collins,2020,RS,22,ATL,PF,41,1363,33.2,65.9,22.7,24.3,24.8,7.6,10.1,9,24,16.4,1.1,4.1,0.1,0,-0.4,-0.4,1.65
bembrde01,DeAndre' Bembry,2020,RS,25,ATL,SG,43,915,21.3,50,14,28.5,21.1,12.3,19.4,4,14.1,8.9,2.8,1.7,0.4,-4.2,2.5,-1.7,0.48
jonesda03,Damian Jones,2020,RS,24,ATL,C,55,887,16.1,71.2,11.4,5.1,47.2,5.6,11.5,8.9,16.2,12.5,1.4,3.8,-0.6,-1.6,-2.6,-4.2,-0.66
cartevi01,Vince Carter,2020,RS,43,ATL,SF,60,876,14.6,47,16.6,66.4,9.5,7.7,9.4,2.2,13.2,7.6,1.2,2.4,-0.2,-2.7,-1.2,-4,-0.54
parkeja01,Jabari Parker,2020,RS,24,ATL,PF,32,837,26.2,56.5,24,29.3,18.3,11.6,12.4,6.9,17.9,12.3,2.3,1.5,0.4,0.8,-1.5,-0.7,0.9
lenal01,Alex Len,2020,RS,26,ATL,C,40,745,18.6,59,18.6,21.5,31.2,8.7,11.7,9.8,23.6,16.6,1.3,3.7,-0.4,-2.4,1.6,-0.8,0.72
fernabr01,Bruno Fernando,2020,RS,21,ATL,C,56,713,12.7,54.2,15.3,18.6,25.6,9.9,15.9,10,20,15,1.2,2,-0.2,-3.1,-0.6,-3.7,-0.34
crabbal01,Allen Crabbe,2020,RS,27,ATL,SG,28,522,18.6,48.2,12.7,65,8.4,7.3,7.5,2,11.5,6.7,1.3,0.6,-0.9,-2.3,-2.9,-5.3,-0.67
teaguje01,Jeff Teague,2020,RS,31,ATL,PG,25,519,20.8,51.2,18.3,18.2,32.1,27.3,17.5,2.5,8.8,5.6,1.7,1,-0.4,-0.7,-2.1,-2.8,-0.02
goodwbr01,Brandon Goodwin,2020,RS,24,ATL,PG,34,430,12.6,50.7,22.4,45.8,15.8,18,12.5,2.7,15.5,9,1.3,0.8,-0.5,-2.7,0,-2.7,0
grahatr01,Treveon Graham,2020,RS,26,ATL,SG,22,266,12.1,47.8,13.3,55.2,28.4,7.6,11.7,8.8,11.5,10.1,1.2,1.3,-0.3,-0.6,-0.9,-1.5,0.17
turneev01,Evan Turner,2020,RS,31,ATL,PG,19,251,13.2,42.4,16.4,7.5,20.9,20.6,26.2,3.4,13,8.2,1.7,2.7,0.7,-5.6,0.6,-5,-0.29
dedmode01,Dewayne Dedmon,2020,RS,30,ATL,C,10,233,23.3,46.3,17.4,42.9,9.5,4.3,10.3,6.4,31.8,18.9,2,5.4,0.4,-4.2,3.7,-0.6,0.26
wallaty01,Tyrone Wallace,2020,RS,25,ATL,SG,14,160,11.4,38.9,16,34.1,38.6,10.9,16.3,2,13,7.4,2,0.5,0.2,-6.4,1.4,-5,-0.18
parsoch01,Chandler Parsons,2020,RS,31,ATL,SF,5,54,10.8,38.9,16.1,77.8,0,7.5,14.3,2,12.1,7,3.5,1.6,0.8,-6.9,-4.3,-11.3,-0.24
brownch02,Charles Brown Jr.,2020,RS,22,ATL,SG,10,40,4,47.2,25.1,47.4,26.3,7.3,12.4,5.3,5.5,5.4,2.3,4.2,1.9,0.1,6.2,6.4,0.19
watsopa01,Paul Watson,2020,RS,25,ATL,SG,2,17,8.5,0,17.1,42.9,0,21.1,0,0,12.8,6.3,2.7,0,-0.6,-10.4,1.8,-8.5,-0.05
tatumja01,Jayson Tatum,2020,RS,21,BOS,PF,66,2265,34.3,56.7,28.6,38.3,25.5,14.5,10.2,3.1,18.5,10.9,2,2.3,-0.3,3.4,1.8,5.2,9.16
brownja02,Jaylen Brown,2020,RS,23,BOS,SF,57,1934,33.9,58.3,24.7,38.1,27.4,9.7,11.2,3.5,16.5,10.1,1.6,1,0.1,1.2,-0.2,1.1,3.77
smartma01,Marcus Smart,2020,RS,25,BOS,SG,60,1919,32,51.8,18.9,57.9,22.3,21.1,12.1,2.4,10.1,6.3,2.5,1.4,0.5,0.7,2,2.7,5.36
walkeke02,Kemba Walker,2020,RS,29,BOS,PG,56,1742,31.1,57.5,27.2,53.2,27.2,24.2,10.5,2.2,11,6.7,1.3,1.5,-0.1,5.1,-0.5,4.6,6.52
haywago01,Gordon Hayward,2020,RS,29,BOS,SF,52,1740,33.5,59.5,21.1,31.7,20.7,18.7,11.2,3.4,17.8,10.7,1.1,1.2,0.3,1.9,-0.8,1,3.37
theisda01,Daniel Theis,2020,RS,27,BOS,C,65,1566,24.1,63.1,14.4,22.5,26.8,10.1,10.2,9.7,19.3,14.6,1.1,5,-0.6,-0.6,2,1.4,3.29
wanambr01,Brad Wanamaker,2020,RS,30,BOS,PG,71,1369,19.3,57.7,15.5,28.2,37.6,17.8,15.3,1.7,9.4,5.6,2.2,0.9,-0.5,-0.5,-0.6,-1,1.2
willigr01,Grant Williams,2020,RS,21,BOS,PF,69,1043,15.1,50.5,11.6,45.5,25.6,8.5,17.6,6.1,12.1,9.1,1.4,3.2,0.2,-3.5,2.4,-1.1,0.87
ojelese01,Semi Ojeleye,2020,RS,25,BOS,PF,69,1011,14.7,56.2,9.7,64.8,16.3,4.7,8.3,2.8,12.5,7.7,1,0.5,-0.7,-2.2,0.8,-1.3,0.72
kanteen01,Enes Kanter,2020,RS,27,BOS,C,58,983,16.9,59.9,19.4,2,28.4,8.8,12.5,18,28.9,23.5,1.1,3.9,-0.6,1.8,1,2.9,2.79
greenja02,Javonte Green,2020,RS,26,BOS,SF,48,468,9.8,56.4,15.3,26.2,33.3,7.7,13.7,5.6,15.6,10.6,2.5,1.6,0.5,-2.9,0,-3,-0.05
williro04,Robert Williams III,2020,RS,22,BOS,C,29,388,13.4,72.8,13.6,0,38.6,10.1,16.9,11.2,24,17.7,2.7,8.4,0.4,0.3,2.6,2.8,1.11
langfro01,Romeo Langford,2020,RS,20,BOS,SG,32,370,11.6,43.4,11.8,33.8,31.3,4.5,10.8,4.4,7.4,5.9,1,2,-0.1,-2.9,2.1,-0.8,0.37
edwarca01,Carsen Edwards,2020,RS,21,BOS,SG,37,351,9.5,44.4,18.4,59.4,14.8,9.3,9.9,1.9,12.4,7.2,1.7,1.1,0.5,-5,-0.3,-5.3,-0.46
poirivi01,Vincent Poirier,2020,RS,26,BOS,C,22,130,5.9,52.5,15.4,5.6,19.4,8.5,17,10.8,24.4,17.7,0.7,6.4,0.5,-5.6,-0.5,-6.1,-0.22
watertr01,Tremont Waters,2020,RS,22,BOS,PG,11,119,10.8,38.1,24.2,49,16.3,18.3,22.2,0,10.7,5.4,4.1,1.6,2.1,-7.7,2.1,-5.6,-0.17
fallta01,Tacko Fall,2020,RS,24,BOS,C,7,33,4.7,75.1,23.7,0,21.4,5.8,16.4,3.3,44.9,24.3,1.5,11.2,0.7,-6.2,0.9,-5.3,-0.04
tatumja01,Jayson Tatum,2020,PO,21,BOS,PF,17,690,40.6,56.3,28.2,37.7,36.8,21.3,11,3.7,23.1,13.8,1.2,2.9,0.2,3.6,3,6.6,3.39
brownja02,Jaylen Brown,2020,PO,23,BOS,SF,17,672,39.5,58.6,23.7,41.7,21.9,9.9,11.5,4.2,16.5,10.6,1.9,1.3,0.1,1,3,4,2.38
smartma01,Marcus Smart,2020,PO,25,BOS,SG,17,648,38.1,55.2,18.4,62.1,28.3,18,16.8,1.8,13.2,7.7,1.6,1.2,0.2,1.8,1.7,3.6,2.16
walkeke02,Kemba Walker,2020,PO,29,BOS,PG,17,628,36.9,57.3,23,49.2,31.6,22.5,9.9,1.1,10.8,6.2,1.2,1.1,-0.6,4.2,0.9,5.1,2.59
theisda01,Daniel Theis,2020,PO,27,BOS,C,17,482,28.4,57.8,13.6,22.2,28.2,7.8,10.2,7.8,19.9,14.1,0.6,4.3,-0.4,-1.6,1.8,0.1,0.73
wanambr01,Brad Wanamaker,2020,PO,30,BOS,PG,17,273,16.1,62.6,13.9,45,26.7,16.1,21.2,0.9,12.7,7,2.2,1.5,0.2,-0.8,-0.9,-1.7,0.15
willigr01,Grant Williams,2020,PO,21,BOS,PF,17,170,10,77.3,9,65.4,38.5,5,11.6,4.8,12.1,8.6,0.6,2.9,0,1.1,1,2,0.43
haywago01,Gordon Hayward,2020,PO,29,BOS,SF,5,157,31.4,50.4,17.2,48,16,13.5,11.6,2.2,11.7,7.2,2.2,1.3,1,-0.8,-1.5,-2.3,0.04
williro04,Robert Williams III,2020,PO,22,BOS,C,13,149,11.5,71.3,12.2,3.2,19.4,10.6,17.2,17.3,21,19.2,1,4,0.4,2.2,1.8,4,0.53
ojelese01,Semi Ojeleye,2020,PO,25,BOS,PF,13,122,9.4,36.4,10.9,82.1,7.1,1.1,3.3,1.9,8.8,5.5,1.2,0,-0.5,-4.6,-0.7,-5.3,-0.16
kanteen01,Enes Kanter,2020,PO,27,BOS,C,11,102,9.3,53.9,22,2.4,23.8,12,7.9,21.8,25.4,23.7,0,0,-0.2,1.1,-7.5,-6.4,-0.2
langfro01,Romeo Langford,2020,PO,20,BOS,SG,7,46,6.6,46,12.5,20,20,6.2,15.5,0,7,3.7,1.1,0,0.4,-5.4,9.5,4.2,0.17
