player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
youngtr01,Trae Young,2020,21,PG,ATL,-7.7,ATL,59,2082,65.0,35.3,29.1,59.3,9.2,4.2,1.2,4.8,+6.9,-3.4,+3.5,6.8,17.0,15.3,34.9,45.6,16.2,1.5,11.7,6.5,1.5,0.3,113.3,36.0,117.0,50.1,35.8,86.2,45.4,44.4
huntede01,De'Andre Hunter,2020,22,SF,ATL,-7.7,ATL,62,1982,61.9,32.0,13.5,52.0,2.0,4.9,1.1,1.8,-2.5,-1.2,-3.7,-0.9,5.9,4.7,17.5,8.0,12.2,2.3,13.1,7.6,1.0,0.8,99.2,16.9,117.2,45.7,35.1,76.1,44.6,21.2
huertke01,Kevin Huerter,2020,21,SG,ATL,-7.7,ATL,55,1731,54.0,31.5,13.7,53.7,4.2,4.6,1.5,1.8,-0.4,-2.5,-2.9,-0.1,8.0,8.1,17.2,17.2,12.1,2.2,12.0,7.0,1.3,1.3,106.9,17.3,116.5,44.6,38.5,82.8,54.9,10.6
reddica01,Cam Reddish,2020,20,SF,ATL,-7.7,ATL,57,1516,47.3,26.6,13.8,50.2,2.0,4.8,2.0,2.1,-2.8,-0.1,-2.9,-0.1,6.0,5.1,18.9,8.2,13.5,2.5,12.6,7.5,1.8,1.5,95.2,18.3,115.1,42.6,33.5,80.2,45.3,23.3
collijo01,John Collins,2020,22,PF,ATL,-7.7,ATL,40,1322,41.3,33.1,22.8,66.5,1.6,10.6,2.5,1.9,+0.2,-0.2,+0.0,1.9,15.8,17.3,22.7,7.9,10.0,9.0,23.8,16.3,1.0,4.1,124.5,21.5,112.2,64.4,41.1,80.1,24.1,25.0
bembrde01,DeAndre' Bembry,2020,25,SG,ATL,-7.7,ATL,43,915,28.6,21.3,9.5,50.0,3.1,5.8,2.8,2.3,-4.2,+2.4,-1.8,0.5,6.4,6.3,14.0,12.3,19.4,4.0,14.0,8.9,2.8,1.7,94.9,14.7,112.4,54.6,23.1,54.2,28.5,21.1
jonesda03,Damian Jones,2020,24,C,ATL,-7.7,ATL,55,887,27.7,16.1,12.1,71.2,1.4,8.1,2.6,1.1,-1.5,-2.7,-4.2,-0.7,8.3,10.3,11.4,5.6,11.5,8.9,16.2,12.5,1.4,3.8,137.7,11.7,113.5,70.4,22.2,73.8,5.1,47.2
cartevi01,Vince Carter,2020,43,SF,ATL,-7.7,ATL,59,863,26.9,14.6,11.9,47.0,1.9,5.0,1.9,1.3,-2.8,-1.2,-4.1,-0.6,4.9,4.4,16.6,7.8,9.6,2.2,13.3,7.7,1.2,2.4,94.3,15.9,115.6,45.5,30.0,79.3,66.9,9.7
parkeja01,Jabari Parker,2020,24,PF,ATL,-7.7,ATL,32,837,26.1,26.2,20.0,56.5,2.4,8.0,2.4,2.5,+0.9,-1.7,-0.9,0.8,11.2,11.2,24.1,11.6,12.4,6.9,17.8,12.3,2.3,1.5,106.3,23.3,112.5,60.1,27.0,73.6,29.3,18.3
lenal01,Alex Len,2020,26,C,ATL,-7.7,ATL,40,745,23.3,18.6,16.4,59.0,2.0,10.8,2.5,1.8,-2.4,+1.6,-0.8,0.7,11.3,12.1,18.7,8.7,11.7,9.9,23.5,16.6,1.3,3.7,115.2,18.8,112.0,62.7,25.0,63.0,21.5,31.2
fernabr01,Bruno Fernando,2020,21,C,ATL,-7.7,ATL,55,697,21.8,12.7,11.9,54.6,2.4,9.8,1.8,2.1,-3.1,-0.7,-3.8,-0.4,7.4,7.3,15.5,10.0,16.2,10.1,20.3,15.1,1.2,2.0,107.5,16.4,114.0,61.0,13.5,58.0,18.9,25.5
crabbal01,Allen Crabbe,2020,27,SG,ATL,-7.7,ATL,28,522,16.3,18.6,9.6,48.2,1.9,4.4,1.3,0.8,-2.2,-2.8,-5.0,-0.6,5.0,5.1,12.8,7.3,7.5,2.0,11.5,6.7,1.3,0.6,100.4,12.4,117.1,44.0,32.3,75.0,65.0,8.4
teaguje01,Jeff Teague,2020,31,PG,ATL,-7.7,ATL,24,501,15.6,20.9,12.4,49.6,6.8,3.6,1.7,2.7,-1.2,-1.6,-2.8,0.0,8.3,6.9,18.0,27.3,17.5,2.3,8.7,5.5,1.8,1.0,103.2,19.5,116.6,41.9,31.0,87.8,18.4,31.0
goodwbr01,Brandon Goodwin,2020,24,PG,ATL,-7.7,ATL,34,430,13.4,12.6,16.7,50.7,4.1,5.9,1.3,2.4,-2.8,-0.2,-2.9,0.0,8.5,6.7,22.4,18.0,12.5,2.7,15.4,9.0,1.3,0.8,100.6,22.3,116.0,48.5,29.9,93.3,45.8,15.8
grahatr01,Treveon Graham,2020,26,SG,ATL,-7.7,ATL,21,254,7.9,12.1,9.2,46.9,1.8,6.5,1.5,1.2,-0.9,-0.6,-1.4,0.2,3.3,4.7,13.1,6.9,11.2,8.8,11.1,10.0,1.3,1.3,102.6,13.8,116.7,37.9,35.3,47.4,54.0,30.2
turneev01,Evan Turner,2020,31,PG,ATL,-7.7,ATL,19,251,7.8,13.2,8.6,42.4,5.3,5.3,2.4,3.6,-5.5,+0.7,-4.8,-0.3,5.6,2.6,16.4,20.6,26.2,3.4,13.0,8.2,1.7,2.7,83.6,17.9,114.6,40.3,0.0,85.7,7.5,20.9
dedmode01,Dewayne Dedmon,2020,30,C,ATL,-7.7,ATL,9,206,6.4,22.9,12.7,47.2,1.0,11.7,4.1,1.5,-3.8,+4.4,+0.5,0.3,8.1,7.2,17.9,4.2,10.2,5.2,31.2,18.0,2.0,6.1,93.7,17.2,106.6,51.2,24.2,87.5,43.4,10.5
wallaty01,Tyrone Wallace,2020,25,SG,ATL,-7.7,ATL,14,160,5.0,11.4,8.7,38.9,2.8,4.8,1.7,2.2,-6.5,+1.4,-5.1,-0.2,2.4,-0.1,16.0,10.9,16.3,2.0,12.9,7.4,2.0,0.5,79.9,16.2,115.1,44.8,6.7,64.7,34.1,38.6
parsoch01,Chandler Parsons,2020,31,SF,ATL,-7.7,ATL,5,54,1.7,10.8,9.1,38.9,1.9,4.5,3.2,1.9,-7.2,-4.5,-11.6,-0.2,4.1,4.1,16.2,7.5,14.3,2.0,12.1,7.0,3.5,1.6,76.9,15.7,111.7,25.0,28.6,,77.8,0.0
brownch02,Charlie Brown,2020,22,SG,ATL,-7.7,ATL,10,40,1.2,4.0,17.5,47.2,1.7,3.5,3.5,2.6,+0.4,+5.8,+6.2,0.2,5.5,5.6,25.1,7.3,12.4,5.3,5.4,5.4,2.3,4.2,93.2,24.4,114.1,30.0,33.3,100.0,47.4,26.3
watsopa01,Paul Watson,2020,25,SG,ATL,-7.7,ATL,2,17,0.5,8.5,0.0,0.0,6.2,4.1,2.1,0.0,-9.5,+1.1,-8.4,0.0,-2.9,-7.8,17.1,21.1,0.0,0.0,12.8,6.3,2.7,0.0,27.2,16.8,114.1,0.0,0.0,,42.9,0.0
tatumja01,Jayson Tatum,2020,21,PF,BOS,+6.2,BOS,59,2043,66.0,34.6,24.7,56.2,3.1,7.4,2.4,2.3,+3.5,+1.7,+5.2,8.3,14.4,14.4,28.6,14.0,9.7,3.0,18.8,11.0,2.0,2.4,110.5,27.2,105.2,47.9,39.8,80.6,37.7,25.1
smartma01,Marcus Smart,2020,25,SG,BOS,+6.2,BOS,53,1721,55.6,32.5,15.0,51.9,5.4,4.3,2.4,1.9,+0.8,+2.1,+3.0,5.0,9.2,10.1,19.3,21.0,11.5,2.5,10.1,6.4,2.4,1.5,110.1,19.7,107.1,42.4,34.8,83.5,58.2,20.1
brownja02,Jaylen Brown,2020,23,SF,BOS,+6.2,BOS,50,1702,55.0,34.0,21.8,58.9,2.3,6.8,1.5,2.5,+1.1,-0.5,+0.6,2.9,11.7,11.2,24.7,10.2,11.8,3.4,16.5,10.0,1.6,0.9,110.8,23.5,107.6,55.2,38.1,73.6,36.4,28.0
walkeke02,Kemba Walker,2020,29,PG,BOS,+6.2,BOS,50,1592,51.4,31.8,24.1,56.9,5.6,4.6,1.6,2.4,+5.4,-0.7,+4.7,6.1,13.9,14.4,27.8,24.6,10.3,2.2,11.4,6.9,1.4,1.5,115.3,27.5,109.1,47.0,37.7,86.7,52.6,27.0
haywago01,Gordon Hayward,2020,29,SF,BOS,+6.2,BOS,45,1501,48.5,33.4,18.8,59.3,4.5,7.1,1.3,1.9,+1.5,-0.6,+0.9,2.8,13.8,13.5,20.9,19.0,10.8,3.2,17.6,10.5,1.1,1.2,118.4,20.8,108.2,55.3,39.2,84.7,31.1,18.3
theisda01,Daniel Theis,2020,27,C,BOS,+6.2,BOS,58,1382,44.6,23.8,14.1,62.9,2.5,10.0,2.9,1.3,-0.3,+1.9,+1.5,3.0,10.9,13.0,14.7,9.9,10.1,10.2,19.2,14.7,1.2,5.0,130.1,15.5,104.8,63.1,32.1,76.4,21.2,27.7
wanambr01,Brad Wanamaker,2020,30,PG,BOS,+6.2,BOS,63,1215,39.2,19.3,12.3,56.0,4.7,3.7,1.9,2.1,-1.6,-0.6,-2.1,0.4,7.7,7.3,15.4,17.6,15.9,1.7,9.2,5.5,2.1,1.0,112.1,16.1,108.4,45.2,36.7,93.1,28.3,36.5
willigr01,Grant Williams,2020,21,PF,BOS,+6.2,BOS,62,970,31.3,15.6,8.2,50.8,2.3,6.2,2.3,1.7,-3.3,+2.5,-0.8,1.0,3.7,4.0,11.5,8.3,17.7,6.5,11.7,9.1,1.4,3.1,104.5,12.3,107.7,55.1,24.7,72.5,44.3,26.6
ojelese01,Semi Ojeleye,2020,25,PF,BOS,+6.2,BOS,61,891,28.8,14.6,7.8,55.7,1.3,5.0,0.9,0.5,-2.1,+1.3,-0.8,0.9,5.3,5.9,8.8,4.5,6.5,2.9,11.9,7.5,1.0,0.5,119.1,8.6,110.5,47.5,36.7,89.3,61.6,17.6
kanteen01,Enes Kanter,2020,27,C,BOS,+6.2,BOS,51,891,28.8,17.5,16.9,59.4,2.0,16.0,2.4,2.1,+1.1,+1.7,+2.8,2.5,15.4,17.1,19.3,8.4,12.9,17.1,30.2,23.7,1.1,3.9,121.5,20.5,102.8,57.6,14.3,70.8,2.3,28.6
greenja02,Javonte Green,2020,26,SF,BOS,+6.2,BOS,44,414,13.4,9.4,11.1,55.8,2.0,7.0,2.6,1.6,-2.6,+0.4,-2.2,0.1,8.1,8.9,13.6,7.6,13.7,4.7,15.9,10.4,2.7,1.6,109.7,13.8,104.9,57.3,26.1,63.9,23.5,36.7
williro04,Robert Williams,2020,22,C,BOS,+6.2,BOS,23,323,10.4,14.0,11.0,67.1,2.5,12.1,5.4,2.2,-1.7,+2.7,+1.0,0.6,12.3,15.5,12.3,9.5,21.5,11.4,24.3,17.9,3.0,8.0,122.9,13.8,97.5,67.7,,56.0,0.0,40.3
edwarca01,Carsen Edwards,2020,21,SG,BOS,+6.2,BOS,35,316,10.2,9.0,12.2,44.6,2.5,4.9,1.5,1.7,-5.5,-0.2,-5.7,-0.5,4.4,3.1,18.1,9.5,11.2,2.1,12.4,7.3,1.5,0.9,92.1,17.5,108.8,35.6,30.9,84.6,60.2,11.5
langfro01,Romeo Langford,2020,20,SG,BOS,+6.2,BOS,27,298,9.6,11.0,8.4,46.5,0.7,3.9,1.7,1.1,-2.8,+1.6,-1.2,0.2,2.3,2.5,11.9,2.6,10.8,5.1,6.4,5.8,1.3,1.9,98.3,11.8,110.4,46.3,21.7,69.6,35.9,35.9
poirivi01,Vincent Poirier,2020,26,C,BOS,+6.2,BOS,21,114,3.7,5.4,12.4,54.0,2.2,10.8,2.5,1.9,-4.1,-3.0,-7.1,-0.3,7.5,6.9,15.8,8.6,14.3,9.5,22.4,16.0,0.8,4.9,110.6,16.5,104.7,48.4,50.0,85.7,6.1,21.2
watertr01,Tremont Waters,2020,22,PG,BOS,+6.2,BOS,10,89,2.9,8.9,13.4,43.8,4.9,3.7,2.9,4.1,-5.0,-1.2,-6.1,-0.2,4.6,0.8,22.9,18.8,21.0,0.0,10.7,5.4,2.7,2.1,83.0,23.1,105.8,50.0,17.6,100.0,48.6,17.1
fallta01,Tacko Fall,2020,24,C,BOS,+6.2,BOS,6,24,0.8,4.0,28.7,71.3,0.0,16.6,3.0,4.5,-9.2,-0.2,-9.4,-0.1,19.4,14.0,29.0,0.0,18.4,0.0,48.7,24.6,0.0,7.7,98.5,23.5,97.5,75.0,,33.3,0.0,25.0
dinwisp01,Spencer Dinwiddie,2020,26,SG,BRK,-0.6,NJN,64,1994,64.1,31.2,23.5,54.1,7.7,3.9,1.1,3.1,+3.8,-2.5,+1.3,4.1,12.4,10.8,29.2,35.6,12.5,1.7,9.5,5.7,1.0,0.9,111.3,29.8,111.9,48.5,30.8,77.8,39.2,43.7
harrijo01,Joe Harris,2020,28,SF,BRK,-0.6,NJN,63,1946,62.5,30.9,16.1,59.2,2.4,5.0,1.0,1.7,+0.6,-1.1,-0.5,2.2,8.9,9.6,17.9,10.3,11.1,3.3,10.9,7.2,0.9,0.7,112.2,17.2,111.7,53.6,41.2,74.7,52.3,11.8
princta02,Taurean Waller-Prince,2020,25,SF,BRK,-0.6,NJN,64,1857,59.7,29.0,14.8,49.7,2.2,7.3,1.6,2.4,-2.1,+0.0,-2.0,0.7,7.6,6.2,20.4,9.3,14.0,2.8,17.9,10.6,1.5,1.1,93.8,19.6,108.2,42.9,33.9,79.8,58.3,12.0
allenja01,Jarrett Allen,2020,21,C,BRK,-0.6,NJN,64,1647,52.9,25.7,14.7,65.8,1.8,13.1,2.6,1.6,-0.6,+2.4,+1.8,3.8,14.1,16.7,15.0,7.8,12.2,12.5,25.0,18.9,1.1,4.3,130.0,15.7,104.8,65.4,0.0,62.0,1.2,57.4
templga01,Garrett Temple,2020,33,SG,BRK,-0.6,NJN,55,1547,49.7,28.1,13.0,50.7,3.2,4.4,1.6,1.3,-1.8,+0.6,-1.1,1.3,7.4,7.8,16.6,13.1,9.3,1.9,10.5,6.3,1.3,1.4,105.0,16.2,110.4,48.3,32.4,76.7,66.0,13.9
jordade01,DeAndre Jordan,2020,31,C,BRK,-0.6,NJN,56,1234,39.7,22.0,13.4,68.2,3.0,16.2,2.0,2.1,-1.5,+1.6,+0.1,1.8,16.4,17.1,14.1,12.8,17.8,12.1,34.2,23.4,0.7,3.5,128.5,15.4,103.6,66.6,,68.0,0.0,42.5
